isbn,title,author,genre,publication_year,rating
9780132350884,Clean Code,Robert C. Martin,Programming,2008,4.4
9780201616224,The Pragmatic Programmer,Andrew Hunt,Programming,1999,4.6
9780743273565,The Great Gatsby,F. Scott Fitzgerald,Fiction,1925,4.2
9780061120084,To Kill a Mockingbird,Harper Lee,Fiction,1960,4.8
9780451524935,1984,George Orwell,Dystopian,1949,4.7
9780316769488,The Catcher in the Rye,J.D. Salinger,Fiction,1951,4.0
9780544003415,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954,4.9
9780439708180,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,1997,4.8
9780385533225,The Road,Cormac McCarthy,Fiction,2006,4.3
9780060850524,Brave New World,Aldous Huxley,Dystopian,1932,4.5
