reading_id,sensor_id,timestamp,temperature_c,humidity_pct,battery_pct
1,SENSOR-013,2024-01-01T00:01:00,7.48,50.56,61.6
2,SENSOR-020,2024-01-01T00:02:00,28.14,23.72,56.7
3,SENSOR-021,2024-01-01T00:03:00,42.73,25.18,31.3
4,SENSOR-015,2024-01-01T00:04:00,29.17,67.68,27.7
5,SENSOR-024,2024-01-01T00:05:00,-2.61,75.97,87.8
6,SENSOR-030,2024-01-01T00:06:00,14.49,79.73,48.7
7,SENSOR-007,2024-01-01T00:07:00,-0.33,64.6,84.2
8,SENSOR-009,2024-01-01T00:08:00,39.02,27.68,73.4
9,SENSOR-041,2024-01-01T00:09:00,-5.79,16.79,1.9
10,SENSOR-033,2024-01-01T00:10:00,24.74,83.14,57.9
11,SENSOR-050,2024-01-01T00:11:00,22.45,91.57,55.2
12,SENSOR-035,2024-01-01T00:12:00,39.17,58.57,65.4
13,SENSOR-010,2024-01-01T00:13:00,10.12,30.1,77.2
14,SENSOR-047,2024-01-01T00:14:00,37.14,22.05,50.1
15,SENSOR-006,2024-01-01T00:15:00,11.82,55.2,66.3
16,SENSOR-040,2024-01-01T00:16:00,27.63,78.15,14.0
17,SENSOR-011,2024-01-01T00:17:00,-0.15,95.38,65.9
18,SENSOR-010,2024-01-01T00:18:00,30.48,53.52,35.9
19,SENSOR-015,2024-01-01T00:19:00,31.88,30.86,26.4
20,SENSOR-015,2024-01-01T00:20:00,-7.65,28.61,90.8
21,SENSOR-024,2024-01-01T00:21:00,11.35,92.61,88.2
22,SENSOR-003,2024-01-01T00:22:00,43.93,39.17,70.4
23,SENSOR-034,2024-01-01T00:23:00,24.85,34.61,74.2
24,SENSOR-038,2024-01-01T00:24:00,19.94,25.65,65.4
25,SENSOR-024,2024-01-01T00:25:00,22.32,90.84,7.8
26,SENSOR-017,2024-01-01T00:26:00,10.7,91.65,51.6
27,SENSOR-023,2024-01-01T00:27:00,34.95,41.05,79.3
28,SENSOR-039,2024-01-01T00:28:00,-9.64,89.38,44.0
29,SENSOR-015,2024-01-01T00:29:00,-5.76,67.91,21.2
30,SENSOR-012,2024-01-01T00:30:00,-1.35,64.18,81.7
31,SENSOR-043,2024-01-01T00:31:00,2.67,83.01,72.0
32,SENSOR-031,2024-01-01T00:32:00,27.14,53.11,59.1
33,SENSOR-042,2024-01-01T00:33:00,35.84,12.02,4.3
34,SENSOR-037,2024-01-01T00:34:00,22.58,22.13,51.3
35,SENSOR-037,2024-01-01T00:35:00,-1.92,24.97,92.2
36,SENSOR-034,2024-01-01T00:36:00,42.7,63.94,56.4
37,SENSOR-002,2024-01-01T00:37:00,38.32,75.52,82.1
38,SENSOR-006,2024-01-01T00:38:00,1.91,64.59,47.1
39,SENSOR-031,2024-01-01T00:39:00,-0.62,84.73,60.1
40,SENSOR-038,2024-01-01T00:40:00,35.12,26.37,66.0
41,SENSOR-017,2024-01-01T00:41:00,-0.78,71.7,92.2
42,SENSOR-039,2024-01-01T00:42:00,22.48,30.68,38.5
43,SENSOR-007,2024-01-01T00:43:00,-9.09,57.04,90.9
44,SENSOR-044,2024-01-01T00:44:00,13.09,23.46,9.6
45,SENSOR-031,2024-01-01T00:45:00,39.59,63.98,87.8
46,SENSOR-035,2024-01-01T00:46:00,17.68,20.58,48.2
47,SENSOR-009,2024-01-01T00:47:00,39.61,58.54,0.1
48,SENSOR-050,2024-01-01T00:48:00,27.32,48.83,42.1
49,SENSOR-003,2024-01-01T00:49:00,28.37,48.61,93.8
50,SENSOR-031,2024-01-01T00:50:00,33.43,44.31,58.9
51,SENSOR-048,2024-01-01T00:51:00,39.93,85.35,57.6
52,SENSOR-028,2024-01-01T00:52:00,-2.64,52.94,23.3
53,SENSOR-006,2024-01-01T00:53:00,5.58,88.91,40.9
54,SENSOR-013,2024-01-01T00:54:00,-9.7,76.93,0.7
55,SENSOR-034,2024-01-01T00:55:00,-3.52,10.65,65.5
56,SENSOR-045,2024-01-01T00:56:00,34.24,46.8,10.7
57,SENSOR-028,2024-01-01T00:57:00,25.84,32.83,85.5
58,SENSOR-028,2024-01-01T00:58:00,21.06,65.07,99.2
59,SENSOR-026,2024-01-01T00:59:00,31.52,47.19,78.4
