transaction_id,timestamp,customer_id,region,channel,amount,status
1,2024-02-02T01:01:00,10001,North,online,1854.13,pending
2,2024-03-03T02:02:00,10002,South,in-store,1841.44,completed
3,2024-04-04T03:03:00,10003,Central,mobile,80.42,completed
4,2024-05-05T04:04:00,10004,South,in-store,1263.88,completed
5,2024-06-06T05:05:00,10005,Central,in-store,1790.33,failed
6,2024-07-07T06:06:00,10006,South,mobile,1473.57,completed
7,2024-08-08T07:07:00,10007,South,mobile,851.29,pending
8,2024-09-09T08:08:00,10008,South,phone,256.42,failed
9,2024-10-10T09:09:00,10009,North,phone,2118.89,refunded
10,2024-11-11T10:10:00,10010,North,mobile,1341.03,failed
11,2024-12-12T11:11:00,10011,North,phone,2073.68,refunded
12,2024-01-13T12:12:00,10012,Central,in-store,1761.73,completed
13,2024-02-14T13:13:00,10013,South,phone,2463.07,pending
14,2024-03-15T14:14:00,10014,North,mobile,695.66,refunded
15,2024-04-16T15:15:00,10015,South,phone,888.82,refunded
16,2024-05-17T16:16:00,10016,North,in-store,1335.82,pending
17,2024-06-18T17:17:00,10017,South,mobile,949.26,pending
18,2024-07-19T18:18:00,10018,East,online,573.39,completed
19,2024-08-20T19:19:00,10019,East,mobile,670.08,pending
20,2024-09-21T20:20:00,10020,Central,phone,532.35,failed
21,2024-10-22T21:21:00,10021,West,mobile,358.04,pending
22,2024-11-23T22:22:00,10022,South,phone,1867.79,failed
23,2024-12-24T23:23:00,10023,Central,mobile,905.63,pending
24,2024-01-25T00:24:00,10024,Central,mobile,228.18,completed
25,2024-02-26T01:25:00,10025,North,in-store,1568.99,failed
26,2024-03-27T02:26:00,10026,Central,online,962.53,failed
27,2024-04-28T03:27:00,10027,Central,phone,2427.72,completed
28,2024-05-01T04:28:00,10028,North,phone,1921.73,refunded
29,2024-06-02T05:29:00,10029,North,phone,1087.48,failed
30,2024-07-03T06:30:00,10030,North,phone,2429.75,pending
31,2024-08-04T07:31:00,10031,Central,online,2176.43,refunded
32,2024-09-05T08:32:00,10032,Central,in-store,382.95,pending
33,2024-10-06T09:33:00,10033,Central,online,1497.76,failed
34,2024-11-07T10:34:00,10034,North,online,2322.82,refunded
35,2024-12-08T11:35:00,10035,South,online,602.94,completed
36,2024-01-09T12:36:00,10036,North,mobile,2040.24,pending
37,2024-02-10T13:37:00,10037,South,mobile,2367.17,pending
38,2024-03-11T14:38:00,10038,East,mobile,2410.94,pending
39,2024-04-12T15:39:00,10039,East,mobile,2487.88,refunded
40,2024-05-13T16:40:00,10040,West,mobile,303.39,pending
41,2024-06-14T17:41:00,10041,North,phone,53.56,pending
42,2024-07-15T18:42:00,10042,Central,in-store,18.97,completed
43,2024-08-16T19:43:00,10043,South,online,2263.64,refunded
44,2024-09-17T20:44:00,10044,North,in-store,696.91,failed
45,2024-10-18T21:45:00,10045,South,in-store,1808.66,failed
